VENDOR_SITE_CODE,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,ADDRESS_LINE4,CITY,STATE,COUNTRY,ZIP
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
"Brinkhaven,Ohio",,,,,Brinkhaven,Ohio,US,43006
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
Corporate,"1000 Medical Way",,,,Billings,NY,US,
"Aman Channawar","S-3 Balaji Tower, Near Deotale Clinic","Gurudwara Road",Tukum,,Chandrapur,Maharashtra,IN,442401
43,"Bommanahalli, Bangalore",,,,Bangalore,Karnataka,IN,560034
Pune,hadapsar,,,,Pune,Maharashtra,IN,411003
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
Headoffice,Lane1,,,,City1,"State 1",MY,123
Headoffice,Lane1,,,,City1,"State 1",MY,123
US1,Lane1,,,,City1,"State 1",MY,123
Headoffice,Lane1,,,,City1,"State 1",MY,123
Headoffice,Lane1,,,,City1,"State 1",MY,123
Antwerpen,"Noorderlaan ","127A BE-2030 ",,,Antwerpen,,BE,"127A BE-2030 "
"Head Office","Flipkart Internet Private Limited,","Ozone Manay Tech Park,","Hosur Road, Bangalore ",,Bangalore,Karnataka,IN,560068
Branch,Satellite,,,,Ahmedabad,Gujarat,IN,382330
Headquarter,"Talab factory road",,,,Pune,Maharashtra,IN,411048
"Head Office","San Francisco, California",,,,"San Francisco",California,US,
USA,,,,,,,US,
USA,,,,,,,US,
ABC,,,,,,,US,
"Head Office",Noida,,,,Noida,"Uttar Pradesh",IN,110096
"Ware house",Dapodi,,,,Pune,Maharashtra,IN,411012
"Head Office","ANI Technologies Private Limited","17th Main, 100 Feet Road","Koramangala, Bengaluru",,Bangalore,,IN,560034
"Factory & Headq","47, Industrial Estate, Fazalganj Industrial Estate, Shastri Nagar",,,,Kanpur,,IN,208012
"SM WHT Authorit","SM WHT Authority Address",,,,Jamestown,NC,US,27282
"SM WHT Authorit","SM WHT Authority Address",,,,Jamestown,NC,US,27282
"InterGermany FR","Postdammer Platz",,,,Berlin,"Bundesland Berlin",DE,
InterGermanyUS1,"Postdammer Platz",,,,Berlin,"Bundesland Berlin",DE,
"InterGermany UK","Postdammer Platz",,,,Berlin,"Bundesland Berlin",DE,
Factory,"AG Thurgauerstrasse 66 Postfach ",,,,Zurich,,CH,8052
"SM Infusion Sup","SM Infusion INC Supplier Addtess",,,,Jamestown,NC,US,27282
GD_Dubai_Site1,"DIC Building 01",,,,"أم القيوين",,AE,
GD_Dubai_Site2,"DIC Building 01",,,,"أم القيوين",,AE,
NN_supplier_add,NN_supplier_address,,,,Cairo,Cairo,EG,
TstCmp_USDSite,Copenhagen,,,,Copenhagen,Copenhagen,DK,23456
"Sunset Supplier","909 Test St",,,,,,US,
JE001,,,,,,ID,US,
Bly,,,,,,,US,
Bly,,,,,,,US,
Bly,,,,,,,US,
Site1,"LE Address1","LE Address2",,,Lufkin,Texas,US,75902
sc99,,,,,,,US,
"Head Office","1 Hacker Way, Menlo Park, California,",,,,,"South Carolina",US,
"Primary Supply ","1, New York Street",,,,"New York",NY,US,
"Purchase and Pa","1, New York Street",,,,"New York",NY,US,
OFFICE-1,"ABU DHABI",,,,أبوظبي,,AE,
"Unique NT Site","Building-A Flat-1001,","Near Nyati Evita Building.Porwdal road lohegaon-411047 Pune.",,,PUNE,Maharashtra,IN,411047
"Monster02 Addre","Local Lake Road",,,,Chicago,Illinois,US,60290
"Monster02 Addre","Local Lake Road",,,,Chicago,Illinois,US,60290
"Abhijeet Motor ",4306,"Street 68",,,"New Johnsonville",Tennessee,US,
"01PCR House",06,,,,المنامة,,AE,
"Managal Peth","Bazar Galli",,,,Khultabad,,IN,431101
"SM Collection A",,,,,Jamestown,NC,US,27282
"Sweden Site","Over the Bridge ",,,,Stockholm,,SE,18000
"Main site","Seattle ,super power street","Seattle ,super power street",,,,,US,
"purpose site","Seattle ,super power street","Seattle ,super power street",,,,,US,
"NS ADD",,,,,Albany,"New York",US,
Ahmedabad,Ahmedabad,,,,Ahmedabad,Gujarat,IN,380008
Ahmedabad,Ahmedabad,,,,Ahmedabad,Gujarat,IN,380008
"Supplier Addres",,,,,"New York",NY,US,
"Supplier Addres",,,,,"New York",NY,US,
"CC supplier add",Deesa,,,,"New York",NY,US,
Headquarter,"Survey No.19, Vajdi ","Kalawad Road",,,Rajkot,Gujarat,IN,360007
Boston,LA,,,,,,US,
"SH US1","400 Main St",,,,Irvine,CA,US,92614
"SM FBDI INC Add",,,,,Jamestown,NC,US,27282
Maricao_Task,,,,,Maricao,PR,US,00606
HQ,ahmedabad,,,,ahmedabad,Gujarat,IN,380000
Atlanta,"Opera House, Mumbai",,,,"Town ",,IN,422005
ABC3,"Amar Nagar",,,,Hyderabad,Telangana,IN,500032
"ABC, Gate NO:3 ","Amar Nagar",,,,Hyderabad,Telangana,IN,500032
Pune,"C Block Pune",,,,Pune,Maharashtra,IN,411009
boston,,,,,,,US,
"Franklin, Ohio",,,,,Columbus,Ohio,US,43004
Testaddress,,,,,,,US,
"Patheon US1","300 Delaware St",,,,Greenville,SC,US,29605
newyork,,,,,,,US,
newyork,,,,,,,US,
newyork,,,,,,,US,
"Nehru nagar","S884 NEHRU NAGAR",,,,Bhopal,"Madhya Pradesh",IN,462003
Manhattan,,,,,,,US,
"L 45",Chinhat,,,,Bhopal,"Madhya Pradesh",IN,462003
vv,"42 somnath villa, near balaji bungalows chhani","near balaji bungalows chhani",,,"Blue Eye",AR,US,65611
Kabul,Kabul,,,,Kabul,,AF,
Kabul,Kabul,,,,Kabul,,AF,
Chandkheda,idsfiusabibda,,,,Ahmadabad,Gujarat,IN,380019
"Head Office","Hells Kitchen","Daredevil area",,,"New York",NY,US,
dalas,,,,,,,US,
dalas,,,,,,,US,
dalas,,,,,,,US,
dalas,,,,,,,US,
dalas,,,,,,,US,
Abu,"403, a block",,,,Jamshedpur,,IN,831021
yuhan,yuhan,,,,yuhan,,AL,
Istanbul,Istanbul,,,,Istanbuk,,AF,
california,,,,,,,US,
"xx company","park blvd",,,,Austin,TX,US,
"FS US1","168 3rd Ave",,,,Waltham,MA,US,02451
India,Sitamarhi,,,,Dumra,Bihar,IN,843301
"Purchasing site",,,,,,,US,
site2,,,,,,,US,
Jodhpur,"CHB ",,,,Jodhpur,Rajasthan,IN,342008
IKEA_PUNE_STORE,IKEA_PUNE_2,,,,Pune,Maharashtra,IN,411015
"Atlanta ",Ahmadabaad,,,,Ahmadabad,Gujarat,IN,380024
california,,,,,,,US,
Kolkata,"Thane, MH",,,,Thane,Maharashtra,IN,400602
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
"Bolton, United Kingdom","Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
Primary,,,,,Holtsville,"New York",US,00501
Primary,,,,,Holtsville,"New York",US,00501
mumbai,"colaba,mumbai",,,,mumbai,,IN,400001
Istanbul,Istanbul,,,,Istanbul,,AF,
Istanbul,Istanbul,,,,Istanbul,,AF,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
"CLS US1","800 North St",,,,Tewksbury,MA,US,01876
texas,,,,,,,US,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
Jodhpur,"Chopasani housing board",,,,Jodhpur,Rajasthan,IN,342008
Jhansi,"Railway station",,,,Jhansi,"Uttar Pradesh",IN,284001
"Vijay Mallya","Bir Billing",,,,Himachal,Uttarakhand,IN,111222
Pune,"23,Electronic Co. Op. Estate Ltd., Pune-Satara Road, -411009.",,,,Pune,Maharashtra,IN,411009
mumbai,"bhindi bazar colaba",,,,mumbai,,IN,400001
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
"RJK HC","3055 Alabama St",,,,"La Crescenta",CA,US,91214
Mumbai,"179 navi mumbai ",,,,Mumbai,Maharashtra,IN,70001
shop1,qwe,,,,kabul,,AF,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
"GE SUPP SITE","GE US Address1",,,,Holtsville,NY,US,00501
"Near akash gang","lc road",,,,Dhanbad,Jharkhand,IN,826001
"BPA TEST 101","MALAD ROAD","Avenue 405",,,,,US,
"Royal Park Soci","Street 32",,,,Pune,Maharashtra,IN,411001
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
"SA Address",,,,,Adjuntas,PR,US,00601
Amsterdam,,,,,,,US,
Amsterdam,,,,,,,US,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
UK,"Bolton, United Kingdom",,,,Manchester,,GB,
